"id","productStyle","age","gender","region","node","stageNum","stageName","timestamp"
17827,"style1","under-30","male","us",1,1,"Order Received","12-01-2017 16:45:27"
17828,"style1","under-30","male","us",1,1,"Order Received","12-01-2017 16:58:26"
17829,"style1","under-30","male","us",2,1,"Order Received","12-01-2017 09:49:19"
17830,"style1","under-30","male","us",2,1,"Order Received","12-01-2017 10:41:21"
17831,"style1","under-30","male","us",2,1,"Order Received","12-01-2017 13:58:06"
17832,"style1","under-30","male","us",2,1,"Order Received","12-01-2017 21:13:51"
17833,"style1","under-30","male","asia",1,1,"Order Received","12-01-2017 02:01:38"
17834,"style1","under-30","male","asia",1,1,"Order Received","12-01-2017 03:20:36"
17835,"style1","under-30","male","asia",1,1,"Order Received","12-01-2017 12:37:09"
17836,"style1","under-30","male","asia",1,1,"Order Received","12-01-2017 16:31:08"
17837,"style1","under-30","male","asia",2,1,"Order Received","12-01-2017 01:14:31"
17838,"style1","under-30","male","asia",2,1,"Order Received","12-01-2017 05:17:28"
17839,"style1","under-30","male","asia",2,1,"Order Received","12-01-2017 07:03:19"
17840,"style1","under-30","male","asia",2,1,"Order Received","12-01-2017 15:16:28"
17841,"style1","under-30","male","europe",1,1,"Order Received","12-01-2017 01:41:32"
17842,"style1","under-30","male","europe",1,1,"Order Received","12-01-2017 01:49:31"
17843,"style1","under-30","male","europe",1,1,"Order Received","12-01-2017 05:45:33"
17844,"style1","under-30","male","europe",1,1,"Order Received","12-01-2017 07:35:27"
17845,"style1","under-30","male","europe",1,1,"Order Received","12-01-2017 09:46:13"
17846,"style1","under-30","male","europe",1,1,"Order Received","12-01-2017 11:22:49"
17847,"style1","under-30","male","europe",1,1,"Order Received","12-01-2017 19:45:56"
17848,"style1","under-30","male","europe",1,1,"Order Received","12-01-2017 22:17:49"
17849,"style1","under-30","male","europe",1,1,"Order Received","12-01-2017 22:47:36"
17850,"style1","under-30","male","europe",2,1,"Order Received","12-01-2017 10:58:50"
17851,"style1","under-30","female","us",1,1,"Order Received","12-01-2017 01:38:49"
17852,"style1","under-30","female","us",1,1,"Order Received","12-01-2017 16:06:17"
17853,"style1","under-30","female","us",2,1,"Order Received","12-01-2017 01:18:40"
17854,"style1","under-30","female","us",2,1,"Order Received","12-01-2017 03:24:41"
17855,"style1","under-30","female","us",2,1,"Order Received","12-01-2017 07:44:35"
17856,"style1","under-30","female","asia",1,1,"Order Received","12-01-2017 08:36:06"
17857,"style1","under-30","female","asia",1,1,"Order Received","12-01-2017 19:06:08"
17858,"style1","under-30","female","asia",2,1,"Order Received","12-01-2017 20:19:20"
17859,"style1","under-30","female","asia",2,1,"Order Received","12-01-2017 23:22:24"
17860,"style1","under-30","female","europe",1,1,"Order Received","12-01-2017 02:04:11"
